nodes,ppm,topo,seed,mask,prr,delay_ms,nlt_ms,gen,recv
100,100,01,1,rssi-re-bdi-qo-hc__0101111,0.380369,2671.58,836407,205327,78100
100,100,02,1,rssi-re-bdi-qo-hc__0101111,0.501735,2988.99,750981,207163,103941
100,100,03,1,rssi-re-bdi-qo-hc__0101111,0.343578,2240.29,914908,139750,48015
100,100,04,1,rssi-re-bdi-qo-hc__0101111,0.404264,2475.58,1366256,190398,76971
100,100,05,1,rssi-re-bdi-qo-hc__0101111,0.391431,3181.96,578317,218156,85393
100,100,06,1,rssi-re-bdi-qo-hc__0101111,0.416557,2321.41,236394,132731,55290
100,100,07,1,rssi-re-bdi-qo-hc__0101111,0.417355,2711.44,821444,185729,77515
100,100,08,1,rssi-re-bdi-qo-hc__0101111,0.313760,2176.60,840790,141723,44467
100,100,09,1,rssi-re-bdi-qo-hc__0101111,0.405496,3344.67,799180,200029,81111
100,100,10,1,rssi-re-bdi-qo-hc__0101111,0.423862,2531.82,635883,207787,88073
100,120,01,1,rssi-re-bdi-qo-hc__0101111,0.407024,2869.55,997402,217270,88434
100,120,02,1,rssi-re-bdi-qo-hc__0101111,0.481532,2841.13,492854,207926,100123
100,120,03,1,rssi-re-bdi-qo-hc__0101111,0.320256,3379.10,934053,213317,68316
100,120,04,1,rssi-re-bdi-qo-hc__0101111,0.382462,2973.27,924276,218176,83444
100,120,05,1,rssi-re-bdi-qo-hc__0101111,0.344953,2976.45,1276687,243804,84101
100,120,06,1,rssi-re-bdi-qo-hc__0101111,0.219437,2356.92,676784,114151,25049
100,120,07,1,rssi-re-bdi-qo-hc__0101111,0.438786,2558.25,754687,205989,90385
100,120,08,1,rssi-re-bdi-qo-hc__0101111,0.260520,2079.09,824787,132984,34645
100,120,09,1,rssi-re-bdi-qo-hc__0101111,0.406935,2910.90,920894,237967,96837
100,120,10,1,rssi-re-bdi-qo-hc__0101111,0.445663,3082.94,660731,215634,96100
